Title,Genre,Rating,Votes,Runtime
The Devil All the Time,"
Crime, Drama, Thriller            ",7.1,108684,138.0
Broadchurch,"
Crime, Drama, Mystery            ",8.4,100611,48.0
Fast & Furious 7,"
Action, Adventure, Thriller            ",7.1,371194,137.0
L.A.'s Finest,"
Action, Comedy, Crime            ",6.0,5667,60.0
Good on Paper,"
Comedy, Romance            ",5.6,8099,92.0
Iron Fist,"
Action, Adventure, Crime            ",6.5,118859,55.0
Too Hot to Handle,"
Game-Show, Reality-TV, Romance            ",4.6,10008,40.0
Haseen Dillruba,"
Crime, Drama, Mystery            ",6.9,18149,135.0
Hannibal,"
Crime, Drama, Horror            ",8.5,236161,44.0
Longmire,"
Action, Crime, Drama            ",8.3,30685,60.0
Sicario,"
Action, Crime, Drama            ",7.6,387903,121.0
The Fall,"
Crime, Drama, Thriller            ",8.1,89590,60.0
The Irishman,"
Biography, Crime, Drama            ",7.8,345455,209.0
Jujutsu Kaisen,"
Animation, Action, Adventure            ",8.7,25386,24.0
The Lord of the Rings: The Return of the King,"
Action, Adventure, Drama            ",8.9,1691777,201.0
Baby Driver,"
Action, Crime, Drama            ",7.6,468655,113.0
Dynasty,"
Drama            ",7.3,16666,42.0
Spider-Man,"
Action, Adventure, Sci-Fi            ",7.3,709684,121.0
Jumanji: The Next Level,"
Action, Adventure, Comedy            ",6.7,205638,123.0
I Care a Lot,"
Comedy, Crime, Thriller            ",6.3,109059,118.0
Love and Monsters,"
Action, Adventure, Comedy            ",7.0,100693,109.0
Awake,"
Action, Adventure, Drama            ",4.8,16262,96.0
The Haunting of Hill House,"
Drama, Horror, Mystery            ",8.6,195117,572.0
Things Heard & Seen,"
Drama, Horror, Mystery            ",5.3,24250,121.0
NCIS: Los Angeles,"
Action, Crime, Drama            ",6.7,49943,43.0
Arrival,"
Drama, Sci-Fi            ",7.9,623912,116.0
Taxi Driver,"
Crime, Drama            ",8.2,752553,114.0
Grease,"
Musical, Romance            ",7.2,250587,110.0
El inocente,"
Crime, Drama, Mystery            ",7.9,19980,467.0
The Movies That Made Us,"
Documentary            ",7.8,3653,45.0
Ragnarok,"
Action, Drama, Fantasy            ",7.5,31200,45.0
The King,"
Biography, Drama, History            ",7.2,97848,140.0
Ginny & Georgia,"
Comedy, Drama            ",7.5,35247,
Jupiter's Legacy,"
Action, Adventure, Drama            ",6.7,31953,56.0
Designated Survivor,"
Action, Drama, Mystery            ",7.5,81326,60.0
Sing 2,"
Animation, Adventure, Comedy            ",0.0,0,
White Collar,"
Comedy, Crime, Drama            ",8.2,122230,40.0
The Dig,"
Biography, Drama, History            ",7.1,60598,112.0
Knives Out 2,"
Comedy, Crime, Drama            ",0.0,0,
Dirty John,"
Crime, Drama            ",7.2,18088,44.0
The Old Guard,"
Action, Adventure, Fantasy            ",6.7,141605,125.0
Venom,"
Action, Adventure, Sci-Fi            ",6.7,390167,112.0
The Killing,"
Crime, Drama, Mystery            ",8.2,102312,45.0
Don't Look Up,"
Comedy            ",0.0,0,145.0
Skins,"
Drama            ",8.2,77286,46.0
6 Underground,"
Action, Thriller            ",6.1,150455,128.0
The Fate of the Furious,"
Action, Adventure, Crime            ",6.6,215795,136.0
Captain America: Civil War,"
Action, Adventure, Sci-Fi            ",7.8,697750,147.0
Rurôni Kenshin: Sai shûshô - The Beginning,"
Action, Adventure, Drama            ",7.8,1976,137.0
Death Note: Desu nôto,"
Animation, Crime, Drama            ",9.0,262556,24.0
Naruto,"
Animation, Action, Adventure            ",8.3,79832,24.0
Black Sails,"
Adventure, Drama            ",8.2,96550,56.0
Run,"
Mystery, Thriller            ",6.7,55389,90.0
Orphan Black,"
Action, Drama, Sci-Fi            ",8.3,104501,44.0
Grimm,"
Crime, Drama, Fantasy            ",7.8,111716,45.0
Luther,"
Crime, Drama, Mystery            ",8.4,125749,60.0
Sexy Beasts,"
Reality-TV, Romance            ",4.7,592,
Red Notice,"
Action, Comedy, Crime            ",0.0,0,
Sen to Chihiro no kamikakushi,"
Animation, Adventure, Family            ",8.6,682809,125.0
Hotel Transylvania: Transformania,"
Animation, Adventure, Comedy            ",0.0,0,
Murdoch Mysteries,"
Crime, Drama, Mystery            ",8.1,11437,48.0
Wish Dragon,"
Animation, Adventure, Comedy            ",7.2,15262,98.0
Resident Evil: Infinite Darkness,"
Animation, Action, Horror            ",5.8,7128,26.0
Reign,"
Drama, Fantasy            ",7.5,45045,42.0
Elementary,"
Crime, Drama, Mystery            ",7.9,103707,60.0
The Girl in the Spider's Web,"
Action, Crime, Drama            ",6.1,43896,115.0
Kong: Skull Island,"
Action, Adventure, Fantasy            ",6.6,294292,118.0
The Missing,"
Crime, Drama, Mystery            ",8.2,23317,60.0
Hagane no renkinjutsushi,"
Animation, Action, Adventure            ",9.1,134855,24.0
Altered Carbon,"
Action, Drama, Sci-Fi            ",8.0,149002,60.0
Enterprise,"
Action, Adventure, Drama            ",7.5,48148,60.0
Black Clover,"
Animation, Action, Adventure            ",8.3,13218,24.0
Uncut Gems,"
Crime, Drama, Thriller            ",7.4,239770,135.0
American Crime Story,"
Biography, Crime, Drama            ",8.4,83137,42.0
Bloodline,"
Drama, Thriller            ",7.9,46111,60.0
Revenge,"
Drama, Mystery, Thriller            ",7.8,114932,44.0
The Revenant,"
Action, Adventure, Drama            ",8.0,732244,156.0
Z Nation,"
Action, Comedy, Drama            ",6.7,34226,44.0
Polar,"
Action, Crime, Drama            ",6.3,80553,118.0
Kim's Convenience,"
Comedy            ",8.2,12443,22.0
Grace and Frankie,"
Comedy            ",8.3,41520,30.0
The Lord of the Rings: The Two Towers,"
Action, Adventure, Drama            ",8.7,1529752,179.0
Love Is Blind,"
Reality-TV, Romance            ",6.1,5342,48.0
Legally Blonde,"
Comedy, Romance            ",6.3,195752,96.0
Jessica Jones,"
Action, Crime, Drama            ",7.9,198056,56.0
Rust Creek,"
Crime, Drama, Thriller            ",5.9,9263,108.0
American Vandal,"
Comedy, Crime, Drama            ",8.2,28093,34.0
Cheers,"
Comedy, Drama            ",7.9,49886,22.0
Ocean's Eight,"
Action, Comedy, Crime            ",6.3,197909,110.0
America: The Motion Picture,"
Animation, Action, Adventure            ",5.7,4485,98.0
That '70s Show,"
Comedy, Romance            ",8.0,157990,22.0
Below Deck Mediterranean,"
Reality-TV            ",7.3,1327,43.0
Pirates of the Caribbean: Dead Men Tell No Tales,"
Action, Adventure, Fantasy            ",6.5,276173,129.0
Sense8,"
Drama, Mystery, Sci-Fi            ",8.3,144032,60.0
How to Become a Tyrant,"
Documentary, Biography, History            ",7.4,3700,
Dead to Me,"
Comedy, Crime, Drama            ",8.0,61944,30.0
Narcos: México,"
Crime, Drama            ",8.4,64838,50.0
2001: A Space Odyssey,"
Adventure, Sci-Fi            ",8.3,622998,149.0
Adventure Time,"
Animation, Action, Adventure            ",8.6,81525,11.0
Nanatsu no taizai,"
Animation, Action, Adventure            ",8.0,26282,24.0
My Unorthodox Life,"
Reality-TV            ",5.1,742,
Slasher,"
Crime, Drama, Horror            ",6.7,12031,60.0
Anne,"
Drama, Family            ",8.7,43433,60.0
The Tudors,"
Drama, History, Romance            ",8.1,70514,60.0
Batman v Superman: Dawn of Justice,"
Action, Adventure, Sci-Fi            ",6.4,657423,152.0
Pose,"
Drama            ",8.6,23179,60.0
Cider no yô ni kotoba ga wakiagaru,"
Animation, Drama, Romance            ",7.0,941,87.0
News of the World,"
Action, Adventure, Drama            ",6.8,69037,118.0
Mother!,"
Drama, Horror, Mystery            ",6.6,201141,121.0
Emily in Paris,"
Comedy, Drama, Romance            ",7.0,55757,30.0
National Lampoon's Animal House,"
Comedy            ",7.5,115289,109.0
The Affair,"
Drama            ",7.9,42129,60.0
Honest Thief,"
Action, Crime, Drama            ",6.0,40186,99.0
The End of the F***ing World,"
Adventure, Comedy, Crime            ",8.1,157802,25.0
Midnight in Paris,"
Comedy, Fantasy, Romance            ",7.7,399157,94.0
Lost in Space,"
Adventure, Drama, Family            ",7.3,76255,60.0
Wentworth,"
Crime, Drama            ",8.6,18080,45.0
After Life,"
Comedy, Drama            ",8.4,91972,30.0
The Fresh Prince of Bel-Air,"
Comedy            ",7.9,125167,22.0
Kill Bill: Vol. 2,"
Action, Crime, Thriller            ",8.0,706053,137.0
Bates Motel,"
Drama, Horror, Mystery            ",8.1,100394,45.0
Moneyball,"
Biography, Drama, Sport            ",7.6,386263,133.0
Behind Her Eyes,"
Drama, Mystery, Thriller            ",7.2,47174,298.0
Biohackers,"
Drama, Sci-Fi, Thriller            ",6.8,7563,44.0
Extraction,"
Action, Thriller            ",6.7,174406,116.0
The IT Crowd,"
Comedy            ",8.5,138970,25.0
Californication,"
Comedy, Drama            ",8.3,174076,28.0
Beastars,"
Animation, Crime, Drama            ",7.8,7429,23.0
3rd Rock from the Sun,"
Comedy, Family, Sci-Fi            ",7.7,48780,60.0
Big Mouth,"
Animation, Comedy, Romance            ",7.9,61304,30.0
Snowpiercer,"
Action, Drama, Sci-Fi            ",7.1,335946,126.0
Locke & Key,"
Drama, Fantasy, Horror            ",7.4,47717,48.0
300: Rise of an Empire,"
Action, Drama            ",6.2,286734,102.0
Kimi no na wa.,"
Animation, Drama, Fantasy            ",8.4,217433,106.0
Travelers,"
Drama, Mystery, Sci-Fi            ",8.1,49197,45.0
Black Lightning,"
Action, Drama, Sci-Fi            ",6.1,23354,43.0
Booksmart,"
Comedy            ",7.2,103143,102.0
The Water Man,"
Adventure, Drama, Family            ",5.3,1978,91.0
Chesapeake Shores,"
Drama, Family            ",7.5,5407,42.0
Oxygène,"
Drama, Fantasy, Sci-Fi            ",6.5,27918,100.0
Jaws 2,"
Adventure, Horror, Thriller            ",5.8,73931,116.0
Enola Holmes,"
Action, Adventure, Crime            ",6.6,145206,123.0
Rurôni Kenshin: Sai shûshô - The Final,"
Action, Adventure, Drama            ",7.2,4682,138.0
Chilling Adventures of Sabrina,"
Drama, Fantasy, Horror            ",7.5,82557,60.0
Marcella,"
Crime, Drama, Mystery            ",7.4,26485,45.0
Tropic Thunder,"
Action, Comedy, War            ",7.0,391033,107.0
Freaks and Geeks,"
Comedy, Drama            ",8.7,133607,44.0
iZombie,"
Comedy, Crime, Drama            ",7.8,62258,42.0
Spirit Untamed,"
Animation, Adventure, Family            ",5.4,1741,88.0
Poldark,"
Drama, History, Romance            ",8.3,27588,60.0
Beauty and the Beast,"
Family, Fantasy, Musical            ",7.1,284484,129.0
Penny Dreadful,"
Drama, Fantasy, Horror            ",8.2,115055,60.0
Unbelievable,"
Crime, Drama            ",8.4,81658,385.0
Fate: The Winx Saga,"
Action, Adventure, Drama            ",6.9,30827,
Feel Good,"
Comedy, Drama, Romance            ",7.5,7949,30.0
Bodyguard,"
Crime, Drama, Thriller            ",8.1,103187,60.0
The Legend of Korra,"
Animation, Action, Adventure            ",8.4,109581,23.0
Bird Box,"
Horror, Sci-Fi            ",6.6,297927,124.0
She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",7.9,11967,30.0
Scorpion,"
Action, Crime, Drama            ",7.1,48387,43.0
Derry Girls,"
Comedy            ",8.4,24293,30.0
Hell or High Water,"
Action, Crime, Drama            ",7.6,211816,102.0
The Babysitter,"
Comedy, Horror            ",6.3,79593,85.0
Marriage Story,"
Comedy, Drama, Romance            ",7.9,266307,137.0
Ratched,"
Crime, Drama, Mystery            ",7.3,44914,
Annihilation,"
Adventure, Drama, Horror            ",6.8,293459,115.0
Fractured,"
Mystery, Thriller            ",6.4,62113,99.0
El Camino: A Breaking Bad Movie,"
Action, Crime, Drama            ",7.3,200029,122.0
Godless,"
Drama, Western            ",8.3,56997,452.0
Haikyuu!!,"
Animation, Comedy, Drama            ",8.7,15250,24.0
Wind River,"
Crime, Drama, Mystery            ",7.7,218337,107.0
Dirilis: Ertugrul,"
Action, Adventure, Drama            ",8.0,31182,120.0
Frozen,"
Animation, Adventure, Comedy            ",7.4,586769,102.0
The Haunting of Bly Manor,"
Drama, Horror, Mystery            ",7.4,77872,494.0
Charlie's Angels,"
Action, Adventure, Comedy            ",4.8,62393,118.0
Love,"
Comedy, Drama, Romance            ",7.7,39010,50.0
Spenser Confidential,"
Action, Comedy, Crime            ",6.2,77727,111.0
Centaurworld,"
Animation, Adventure, Comedy            ",7.5,207,25.0
Lo imposible,"
Drama, History, Thriller            ",7.6,208903,114.0
Shadowhunters: The Mortal Instruments,"
Action, Drama, Fantasy            ",6.6,56183,42.0
The Ranch,"
Comedy, Drama, Western            ",7.5,35091,30.0
Shooter,"
Action, Drama            ",7.5,33000,60.0
Zoo,"
Drama, Mystery, Sci-Fi            ",6.7,23095,42.0
The Trial of the Chicago 7,"
Drama, History, Thriller            ",7.8,153211,129.0
Comment je suis devenu super-héros,"
Action, Adventure, Comedy            ",5.8,3214,97.0
